Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,194.550003,194.550003,194.550003,194.550003,000,191.522045
2015-04-21,193.559998,193.559998,193.559998,193.559998,000,190.547448
2015-04-20,193.839996,193.839996,193.839996,193.839996,000,190.823089
2015-04-17,192.059998,192.059998,192.059998,192.059998,000,189.070794
2015-04-16,194.259995,194.259995,194.259995,194.259995,000,191.23655
2015-04-15,194.410004,194.410004,194.410004,194.410004,000,191.384225
2015-04-14,193.410004,193.410004,193.410004,193.410004,000,190.399789
2015-04-13,193.089996,193.089996,193.089996,193.089996,000,190.084762
2015-04-10,193.970001,193.970001,193.970001,193.970001,000,190.951071
2015-04-09,192.960007,192.960007,192.960007,192.960007,000,189.956795
2015-04-08,192.110001,192.110001,192.110001,192.110001,000,189.120019
2015-04-07,191.520004,191.520004,191.520004,191.520004,000,188.539205
2015-04-06,191.910004,191.910004,191.910004,191.910004,000,188.923135
2015-04-02,190.649994,190.649994,190.649994,190.649994,000,187.682735
2015-04-01,189.979996,189.979996,189.979996,189.979996,000,187.023165
2015-03-31,190.710007,190.710007,190.710007,190.710007,000,187.741814
2015-03-30,192.380005,192.380005,192.380005,192.380005,000,189.385821
2015-03-27,190.039993,190.039993,190.039993,190.039993,000,187.082229
2015-03-26,189.559998,189.559998,189.559998,189.559998,000,186.609704
2015-03-25,190.00,190.00,190.00,190.00,000,187.042858
2015-03-24,192.800003,192.800003,192.800003,192.800003,000,189.799282
2015-03-23,193.979996,193.979996,193.979996,193.979996,000,190.960909
2015-03-20,194.320007,194.320007,194.320007,194.320007,000,191.295629
2015-03-19,193.570007,193.570007,193.570007,193.570007,000,189.581723
2015-03-18,194.509995,194.509995,194.509995,194.509995,000,190.502343
2015-03-17,192.169998,192.169998,192.169998,192.169998,000,188.210559
2015-03-16,192.809998,192.809998,192.809998,192.809998,000,188.837372
2015-03-13,190.229996,190.229996,190.229996,190.229996,000,186.310528
2015-03-12,191.389999,191.389999,191.389999,191.389999,000,187.446631
2015-03-11,188.960007,188.960007,188.960007,188.960007,000,185.066706
2015-03-10,189.300003,189.300003,189.300003,189.300003,000,185.399697
2015-03-09,192.550003,192.550003,192.550003,192.550003,000,188.582734
2015-03-06,191.779999,191.779999,191.779999,191.779999,000,187.828595
2015-03-05,194.509995,194.509995,194.509995,194.509995,000,190.502343
2015-03-04,194.270004,194.270004,194.270004,194.270004,000,190.267297
2015-03-03,195.080002,195.080002,195.080002,195.080002,000,191.060606
2015-03-02,195.970001,195.970001,195.970001,195.970001,000,191.932268
2015-02-27,194.770004,194.770004,194.770004,194.770004,000,190.756995
2015-02-26,195.339996,195.339996,195.339996,195.339996,000,191.315243
2015-02-25,195.600006,195.600006,195.600006,195.600006,000,191.569896
2015-02-24,195.720001,195.720001,195.720001,195.720001,000,191.687418
2015-02-23,195.169998,195.169998,195.169998,195.169998,000,191.148748
2015-02-20,195.229996,195.229996,195.229996,195.229996,000,191.207509
2015-02-19,194.020004,194.020004,194.020004,194.020004,000,190.022448
2015-02-18,194.190002,194.190002,194.190002,194.190002,000,190.188944
2015-02-17,194.25,194.25,194.25,194.25,000,190.247705
2015-02-13,193.910004,193.910004,193.910004,193.910004,000,189.914714
2015-02-12,193.100006,193.100006,193.100006,193.100006,000,189.121405
2015-02-11,191.210007,191.210007,191.210007,191.210007,000,187.270347
2015-02-10,191.149994,191.149994,191.149994,191.149994,000,187.211571
2015-02-09,189.119995,189.119995,189.119995,189.119995,000,185.223398
2015-02-06,189.919998,189.919998,189.919998,189.919998,000,186.006918
2015-02-05,190.520004,190.520004,190.520004,190.520004,000,186.594561
2015-02-04,188.539993,188.539993,188.539993,188.539993,000,184.655346
2015-02-03,189.270004,189.270004,189.270004,189.270004,000,185.370316
2015-02-02,186.580002,186.580002,186.580002,186.580002,000,182.735738
2015-01-30,184.190002,184.190002,184.190002,184.190002,000,180.394982
2015-01-29,186.610001,186.610001,186.610001,186.610001,000,182.765119
2015-01-28,184.830002,184.830002,184.830002,184.830002,000,181.021795
2015-01-27,187.350006,187.350006,187.350006,187.350006,000,183.489877
2015-01-26,189.889999,189.889999,189.889999,189.889999,000,185.977537
2015-01-23,189.399994,189.399994,189.399994,189.399994,000,185.497628
2015-01-22,190.440002,190.440002,190.440002,190.440002,000,186.516208
2015-01-21,187.580002,187.580002,187.580002,187.580002,000,183.715134
2015-01-20,186.669998,186.669998,186.669998,186.669998,000,182.82388
2015-01-16,186.380005,186.380005,186.380005,186.380005,000,182.539862
2015-01-15,183.910004,183.910004,183.910004,183.910004,000,180.120752
2015-01-14,185.619995,185.619995,185.619995,185.619995,000,181.795511
2015-01-13,186.699997,186.699997,186.699997,186.699997,000,182.853261
2015-01-12,187.160004,187.160004,187.160004,187.160004,000,183.30379
2015-01-09,188.690002,188.690002,188.690002,188.690002,000,184.802265
2015-01-08,190.289993,190.289993,190.289993,190.289993,000,186.36929
2015-01-07,186.940002,186.940002,186.940002,186.940002,000,183.088321
2015-01-06,184.740005,184.740005,184.740005,184.740005,000,180.933653
2015-01-05,186.399994,186.399994,186.399994,186.399994,000,182.559439
2015-01-02,189.850006,189.850006,189.850006,189.850006,000,185.938368
2014-12-31,189.889999,189.889999,189.889999,189.889999,000,185.977537
2014-12-30,191.869995,191.869995,191.869995,191.869995,000,187.916737
2014-12-29,192.789993,192.789993,192.789993,192.789993,000,188.81778
2014-12-26,192.589996,192.589996,192.589996,192.589996,000,188.621904
2014-12-24,191.960007,191.960007,191.960007,191.960007,000,188.004894
2014-12-23,191.979996,191.979996,191.979996,191.979996,000,188.024471
2014-12-22,191.630005,191.630005,191.630005,191.630005,000,187.681692
2014-12-19,190.880005,190.880005,190.880005,190.880005,000,186.947145
2014-12-18,190.009995,190.009995,190.009995,190.009995,000,186.09506
2014-12-17,185.529999,185.529999,185.529999,185.529999,000,181.707369
2014-12-16,182.830002,182.830002,182.830002,182.830002,000,178.050307
2014-12-15,184.399994,184.399994,184.399994,184.399994,000,179.579255
2014-12-12,185.570007,185.570007,185.570007,185.570007,000,180.718681
2014-12-11,188.619995,188.619995,188.619995,188.619995,000,183.688934
2014-12-10,187.720001,187.720001,187.720001,187.720001,000,182.812468
2014-12-09,190.820007,190.820007,190.820007,190.820007,000,185.831431
2014-12-08,190.869995,190.869995,190.869995,190.869995,000,185.880112
2014-12-05,192.240005,192.240005,192.240005,192.240005,000,187.214307
2014-12-04,191.919998,191.919998,191.919998,191.919998,000,186.902665
2014-12-03,192.130005,192.130005,192.130005,192.130005,000,187.107182
2014-12-02,191.360001,191.360001,191.360001,191.360001,000,186.357308
2014-12-01,190.139999,190.139999,190.139999,190.139999,000,185.169201
2014-11-28,191.440002,191.440002,191.440002,191.440002,000,186.435218
2014-11-26,191.919998,191.919998,191.919998,191.919998,000,186.902665
2014-11-25,191.339996,191.339996,191.339996,191.339996,000,186.337826
2014-11-24,191.529999,191.529999,191.529999,191.529999,000,186.522862
2014-11-21,190.979996,190.979996,190.979996,190.979996,000,185.987237
2014-11-20,189.960007,189.960007,189.960007,189.960007,000,184.993913
2014-11-19,189.580002,189.580002,189.580002,189.580002,000,184.623843
2014-11-18,189.850006,189.850006,189.850006,189.850006,000,184.886789
2014-11-17,188.850006,188.850006,188.850006,188.850006,000,183.912931
2014-11-14,188.699997,188.699997,188.699997,188.699997,000,183.766844
2014-11-13,188.630005,188.630005,188.630005,188.630005,000,183.698682
2014-11-12,188.509995,188.509995,188.509995,188.509995,000,183.581809
2014-11-11,188.589996,188.589996,188.589996,188.589996,000,183.659719
2014-11-10,188.460007,188.460007,188.460007,188.460007,000,183.533128
2014-11-07,187.860001,187.860001,187.860001,187.860001,000,182.948807
2014-11-06,187.759995,187.759995,187.759995,187.759995,000,182.851416
2014-11-05,187.00,187.00,187.00,187.00,000,182.11129
2014-11-04,185.869995,185.869995,185.869995,185.869995,000,181.010826
2014-11-03,186.399994,186.399994,186.399994,186.399994,000,181.526969
2014-10-31,186.419998,186.419998,186.419998,186.419998,000,181.546451
2014-10-30,184.259995,184.259995,184.259995,184.259995,000,179.442916
2014-10-29,183.100006,183.100006,183.100006,183.100006,000,178.313253
2014-10-28,183.339996,183.339996,183.339996,183.339996,000,178.546969
2014-10-27,181.179993,181.179993,181.179993,181.179993,000,176.443434
2014-10-24,181.449997,181.449997,181.449997,181.449997,000,176.70638
2014-10-23,180.179993,180.179993,180.179993,180.179993,000,175.469577
2014-10-22,177.990005,177.990005,177.990005,177.990005,000,173.336842
2014-10-21,179.279999,179.279999,179.279999,179.279999,000,174.593111
2014-10-20,175.839996,175.839996,175.839996,175.839996,000,171.24304
2014-10-17,174.240005,174.240005,174.240005,174.240005,000,169.684878
2014-10-16,172.020004,172.020004,172.020004,172.020004,000,167.522914
2014-10-15,171.990005,171.990005,171.990005,171.990005,000,167.493699
2014-10-14,173.380005,173.380005,173.380005,173.380005,000,168.84736
2014-10-13,173.110001,173.110001,173.110001,173.110001,000,168.584414
2014-10-10,176.00,176.00,176.00,176.00,000,171.398861
2014-10-09,178.029999,178.029999,178.029999,178.029999,000,173.37579
2014-10-08,181.770004,181.770004,181.770004,181.770004,000,177.018021
2014-10-07,178.589996,178.589996,178.589996,178.589996,000,173.921147
2014-10-06,181.330002,181.330002,181.330002,181.330002,000,176.589521
2014-10-03,181.619995,181.619995,181.619995,181.619995,000,176.871933
